supplier,recipient,ordered,designation_num,weapon_description,delivery_year,delivered_num,comments
" Brazil
", Afghanistan, 6, EMB-314 Super Tucano, Trainer/combat ac, 2018, (6), Financed by USA |  ordered via USA from US production line
" Brazil
", Nigeria, 12, EMB-314 Super Tucano, Trainer/combat ac, , , $329 m deal |  from US production line |  delivery planned by 2024
" Brazil
", Chile, 6, EMB-314 Super Tucano, Trainer/combat ac, 2018, (6), 
" Brazil
", Guyana, 2, BN-2 Islander, Light transport ac, 2018, 2, Second-hand
" Brazil
", India, (3), ERJ-145, Transport aircraft, 2017-2018, (3), $210 m deal (part of INR18 b ($378 m) deal) |  for modification in India to AEW&C aircraft with Indian radar
" Brazil
", Lebanon, 6, EMB-314 Super Tucano, Trainer/combat ac, 2017-2018, 6, $173 m deal |  A-29B version |  from US production line |  for combat role
" Brazil
", Mali, (4), EMB-314 Super Tucano, Trainer/combat ac, 2018, 4, 
" Brazil
", Nigeria, 3, EMB-314 Super Tucano, Trainer/combat ac, , , Second-hand |  for use against rebel forces
" Brazil
", Philippines, 6, EMB-314 Super Tucano, Trainer/combat ac, , , PHP5 b ($100 m) deal |  incl for combat role |  delivery planned 2019
" Brazil
", Portugal, 5, KC-390, Transport aircraft, , , Selected but not yet ordered by end-2018
" Brazil
", United Kingdom, 5, Phenom-100, Light transport ac, 2017-2018, (5), Part of 'MFTS' programme |  for UK company for training of UK armed forces in 'MFTS' programme
" Brazil
", Uruguay, 15, M-41B, Light tank, 2018, 15, Second-hand (deal incl 10 more for spare parts) |  aid |  M-41C version
" Bulgaria
", Cote d'Ivoire, 2, An-26, Transport aircraft, 2018, 2, Second-hand
" Canada
", Afghanistan, (6), PT6, Turboprop/turboshaft, 2018, (6), For 6 EMB-314 trainer/combat aircraft from Brazil
" Canada
", Afghanistan,, (6), PT6, 2017, 2018, (6)
" Canada
", Angola, 6, PW100, Turboprop/turboshaft, , , For 3 C-295 MP aircraft from Spain
" Canada
", Argentina, 8, DHC-6 Twin Otter, Transport aircraft, 2017, (3), Argentinian DHC-6-100 rebuilt DHC-6-400 version
" Canada
", Argentina,, (12), PT6, 2017, 2017-2018, (8)
" Canada
", Australia, (49), PT6, Turboprop/turboshaft, 2017-2018, (25), For 49 PC-21 trainer aircraft from Switzerland
" Canada
", Brazil, 4, PW100, Turboprop/turboshaft, 2017, 2, PW127 version for 2 C-295 transport aircraft from Spain
" Canada
", Brazil,, 2, PW100, 2018, , 
" Canada
", Cote d'Ivoire, 2, PW100, Turboprop/turboshaft, , , For 1 C-295 transport aircraft from Spain
" Canada
", Equatorial Guinea, (4), PW100, Turboprop/turboshaft, , , For 1 C295 transport aircraft and 1 C295MPA MP aircraft from Spain
" Canada
", France, (17), PT6, Turboprop/turboshaft, 2018, (15), For 17 PC-21 trainer aircraft from Switzerland
" Canada
", Germany, 5, PT6, Turboprop/turboshaft, , , For 5 Heron-TP UAV/UCAV from Israel
" Canada
", Ghana, (5), PT6, Turboprop/turboshaft, , , For 5 EMB-314 trainer/combat aircraft from Brazil
" Canada
", India, (112), PW100, Turboprop/turboshaft, , , For 56 C295 transport aircraft from Spain
" Canada
", India,, 10, PT6, (2016), , 
" Canada
", Indonesia, 3, PT6, Turboprop/turboshaft, , , For 3 KT-1 trainer aircraft from South Korea |  PT-6A-62A version
" Canada
", Jordan, 2, PT6, Turboprop/turboshaft, 2018, 2, For 2 PC-21 trainer aircraft from Switzerland
" Canada
", Jordan,, 2, PT6, 2017, 2018, 2
" Canada
", Lebanon, (8), PT6, Turboprop/turboshaft, 2017-2018, (8), For 6 EMB-314 trainer/combat aircraft from Brazil |  incl 2 spare engines
" Canada
", Mali, (4), PT6, Turboprop/turboshaft, 2018, 4, For 4 EMB-314 trainer/combat aircraft from Brazil
" Canada
", Mexico, (11), PT6, Turboprop/turboshaft, 2016-2018, (11), For 11 PC-9 (T-6C+) trainer aircraft from USA
" Canada
", Nigeria, (12), PT6, Turboprop/turboshaft, , , For 12 EMB-314 trainer/combat aircraft from Brazil
" Canada
", Philippines, (6), PT6, Turboprop/turboshaft, , , For 6 EMB-314 trainer/combat aircraft from Brazil
" Canada
", Qatar, , DHC-6 Twin Otter, Transport aircraft, 2018, (1), DHC-6-400 version
" Canada
", Saudi Arabia, 385, Piranha LAV-6, APC, 2018, (5)," Part of CAD14 b ($10-11) b deal |  incl ambulance, ARV, command post and VIP transport versions |  delivery planned 2018-2023"
" Canada
", Saudi Arabia,, 119, Piranha LAV-6 AT, 2014, , 
" Canada
", Saudi Arabia,, 119, Piranha LAV-6 FSV, 2014, , 
" Canada
", Saudi Arabia,, 119, Piranha/LAV-6 IFV, 2014, , 
" Canada
", Saudi Arabia,, (8), PW100, 2015, 2015-2018, 8
" Canada
", Saudi Arabia,, (50), Gurkha, (2016), 2018, (50)
" Canada
", Senegal, 4, PT6, Turboprop/turboshaft, , , For 4 KT-1 trainer aircraft from South Korea
" Canada
", Turkey, (16), PW100, Turboprop/turboshaft, 2013, (4), PW127M version for 6 ATR-72MP ASW aircraft and 2 ATR-72 transport aircraft from Italy
" Canada
", Turkey,, (15), PT6, (2013), , 
" Canada
", Turkey,, (12), PT6, 2017, , 
" Canada
", UAE, 2, Global Express, Transport aircraft, 2018, 1, 'Project Dolphin' |  Global Express-6000 version |  modified to SIGINT aircraft in UK before delivery
" Canada
", UAE,, 2, Global Express, 2015, , 
" Canada
", UAE,, 1, Global Express, 2017, , 
" Canada
", UAE,, 10, PW100, 2017, , 
" Canada
", United Kingdom, (10), PT6, Turboprop/turboshaft, 2018, (10), For 10 PC-9 (T-6C) trainer aircraft from USA
" Chile
", Uruguay, (3), Cessna-337/O-2, Light aircraft, 2018, (3), Second-hand |  aid |  possibly 1 for spare parts |  for maritime patrol
" China
", Malaysia, 4, LMS-68, OPV, , , Incl 2 possibly produced in Malaysia |  delivery planned 2019-2021
" China
", Pakistan, . ., Red Arrow-8, Anti-tank missile, 1990-2018, (24350), Pakistani designation Baktar Shikan
" China
", Pakistan,, . ., QW-1 Vanguard, (1993), 1994-2018, (2250)
" China
", Pakistan,, (530), Type-90-2M/MBT-2000, (1998), 2001-2018, (340)
" China
", Pakistan,, (50), JF-17 Thunder/FC-1, (2011), 2015-2018, (50)
" China
", Pakistan,, (50), JF-17 Thunder/FC-1, (2012), , 
" China
", Pakistan,, 2, Azmat, (2013), 2017, 1
" China
", Pakistan,, 2, CSTC-1500, 2015, 2018, 1
" China
", Pakistan,, 4, CSTC-600, 2015, 2016-2018, (4)
" China
", Pakistan,, 8, Type-041/Yuan, (2015), , 
" China
", Pakistan,, , JF-17 Thunder/FC-1, (2016), 2018, (13)
" China
", Thailand, (18), WS-1 302mm, Self-propelled MRL, 2011-2018, (15), Thai designation DTi-1
" China
", Algeria, (5), CH-3, UAV/UCAV, 2018, (5), 
" China
", Algeria,, (5), CH-4, (2017), 2018, (5)
" China
", Algeria,, (18), SM-4 120mm, (2017), 2018, (18)
" China
", Algeria,, , W-86 120mm, 2017, 2018, (10)
" China
", Bangladesh, (174), Type-59G, Tank, 2014-2018, (150), Bangladeshi Type-59 tanks rebuilt to Type-59G in Bangladesh with kits from China
" China
", Bangladesh,, (15), C-802/CSS-N-8, (2015), , 
" China
", Bangladesh,, (100), FN-6, (2015), , 
" China
", Bangladesh,, (50), HHQ-10, (2015), , 
" China
", Bangladesh,, 2, Type-056, 2015, , 
" China
", Bangladesh,, (7), K-8 Karakorum-8, 2018, , 
" China
", Belarus, (10), VN-3, APV, 2017-2018, (10), Aid
" China
", Bolivia, 10, Tiger, APV, 2018, 10, Aid
" China
", Central African Republic, (12), CSK-131, APC/APV, 2018, (12), Aid
" China
", Egypt, (10), Wing Loong-1, UAV/UCAV, 2017-2018, (10), 
" China
", Egypt,, , Wing Loong-2, 2018, , 
" China
", Indonesia, (100), C-705, Anti-ship missile, 2014-2018, (94), For KCR-40 and KCR-60 FAC |  including assembly from kits or production in Indonesia from 2017/2018
" China
", Indonesia,, 4, Wing Loong-1, 2017, 2018, (4)
" China
", Kazakhstan, 4, Y-8, Transport aircraft, 2018, (1), Y-8F-200WA version |  for National Guard
" China
", Laos, (3), CS/SH-1 122mm, Self-propelled gun, 2018, (3), 
" China
", Laos,, (12), SR-5, (2017), 2018, (12)
" China
", Laos,, (50), TY-90, (2017), 2018, (50)
" China
", Laos,, (3), Yitian, 2017, 2018, (3)
" China
", Mauritania, 1, Wuchang-1750, Landing ship, , , Delivery planned 2019
" China
", Myanmar, (50), K-8 Karakorum-8, Trainer/combat ac, 2011-2015, (18), No. could be 60 or 72 |  assembled in Myanmar |  status of 32 uncertain
" China
", Myanmar,, (16), JF-17 Thunder/FC-1, (2015), 2018, (6)
" China
", Pakistan, (600), PL-12/SD-10, BVRAAM, 2010-2018, (425), For JF-17 and possibly modernized Mirage-3/5 combat aircraft
" China
", Pakistan,, (1000), PL-5E, (2006), 2009-2018, (860)
" China
", Pakistan,, (100), C-802/CSS-N-8, (2008), 2012-2018, (70)
" China
", Pakistan,, (750), LS-3, (2008), 2010-2018, (650)
" China
", Pakistan,, (1000), LS-6-500, (2008), 2010-2017, (625)
" China
", Pakistan,, (750), LT-2, (2008), 2010-2018, (625)
" China
", Pakistan,, (150), WMD-7, (2008), 2009-2018, (95)
" China
", Pakistan,, (30), C-802/CSS-N-8, (2013), 2017, (15)
" China
", Pakistan,, (80), C-802/CSS-N-8, (2015), , 
" China
", Pakistan,, (100), SET-65 Yenot-2, (2015), , 
" China
", Pakistan,, (100), Yu-4 533mm, (2015), , 
" China
", Pakistan,, (4), Type-054A/Jiangkai-2, (2017), , 
" China
", Qatar, (48), BP-12A, SSM, 2017-2018, (48), For SY-400 MRL
" China
", Qatar,, (8), SY-400 TEL, 2016, 2017-2018, (8)
" China
", Rwanda, 50, Red Arrow-9, Anti-tank missile, 2017-2018, (50), 
" China
", Rwanda,, (3), CS/SH-1 122mm, (2017), 2018, (3)
" China
", Saudi Arabia, , Wing Loong-2, UAV/UCAV, 2017-2018, (15), 
" China
", Sri Lanka, , Type-053H2G/Jiangwei-1, OPV, , , Second-hand Type-053H2G (Jangwei-1) frigate modified to OPV before delivery |  RMB120 m deal
" China
", Sudan, 6, FTC-2000, Trainer/combat ac, 2017-2018, (6), 
" China
", Sudan,, (40), Python-3, (2015), 2017-2018, (40)
" China
", Tajikistan, (10), Tiger, APV, 2018, (10), 
" China
", Tajikistan,, (10), VP-11, (2017), 2018, (10)
" China
", Thailand, . ., WS-3A 300mm, Guided rocket, 2015-2018, (82), For WS-1 (DTi-1) MRL
" China
", Thailand,, , C-708UNA, 2017, , 
" China
", Thailand,, 1, S26T, 2017, , 
" China
", Thailand,, (10), VT-4, 2017, 2018, (10)
" China
", Thailand,, , Yu-8 533mm, 2017, , 
" China
", Thailand,, 34, Type-07P/VN-1, (2018), , 
" China
", Thailand,, 14, VT-4, (2018), , 
" China
", UAE, , Wing Loong-2, UAV/UCAV, 2017-2018, (15), 
" China
", UAE,, (6), AH-4 155mm, (2018), , 
" China
", Venezuela, , C-802/CSS-N-8, Anti-ship missile, , , 
" Cote d'Ivoire
", France, (9), Bastion, APC/APV, 2018, (9), For Cote d'Ivoire UN peacekeeping firces
" Czechia
", Ukraine, (200), BMP-1, IFV, 2018, (30), Second-hand but modernized to BMP-1AK before delivery |  ordered and delivered via Polish company
" Czechia
", Azerbaijan, (30), RM-70 122mm, Self-propelled MRL, 2017-2018, (30), Second-hand |  refurbished before delivery |  delivery via Slovakia and Israel
" Czechia
", Brazil, (45), T3C-928-90, Diesel engine, 2017-2018, (20), For 45 ASTROS-2 Mk-6 MLR (AV-LMU) produced in Brazil (on T815-7 6x6 wheeled chassis from Czechia)
" Czechia
", Hungary, 2, Z-143L, Light aircraft, 2018, 2, Part of HUF343 m ($1.8 m) deal |  Z-143LSi version
" Czechia
", Indonesia, (36), RM-70 122mm, Self-propelled MRL, 2016, 8, Second-hand |  modernized to RM-70 Vampir version before delivery
" Czechia
", Indonesia,, 1, VERA-E, (2017), , 
" Czechia
", Senegal, 4, L-39NG, Trainer/combat aircraft, , , Mainly for combat role |  delivery planned 2020-2021
" Czechia
", Ukraine, 33, 2S1 122mm, Self-propelled gun, 2018, 33, Second-hand
" Czechia
", United States, 21, L-159A ALCA, FGA aircraft, 2015-2018, (21), Second-hand |  for US company for training of US armed forces
" Denmark
", India, 31, Scanter-6000, Air/sea search radar, , , Scanter-6002 version |  incl production in India |  delivery planned by 2026
" Denmark
", Australia, 12, Scanter-6000, Air/sea search radar, , , For 12 OPV-80 (Sea-1180 Phase-1) OPV from Germany
" Denmark
", France, 16, Scanter-2001, Sea search radar, 2012-2018, 10, For 8 FREMM frigates produced in France
" Denmark
", Indonesia, 2, B&W-8L, Diesel engine, , , For 1 LPD-122m (Makassar) landing ship from South Korea |  possibly from South Korean production line
" Denmark
", Latvia, (50), FIM-92 Stinger, Portable SAM, 2018, (50), Second-hand
" Denmark
", Malaysia, 4, MAN-9L27, Diesel engine, 2017-2018, 4, For 4 Gagah Samudera OPV/training ships from South Korea
" Denmark
", Malaysia,, 2, Scanter-6000, 2016, 2017-2018, (2)
" Denmark
", Mexico, 4, Scanter-2001, Sea search radar, 2016-2017, 2, For 4 Oaxaca OPV produced in Mexico
" Denmark
", Portugal, 5, StanFex-300, Patrol craft, 2016-2018, 4, Second-hand |  EUR4 m deal (modernized in Portugal after deliverey for EUR28 m) |  Portugese designation Tejo
" Denmark
", Ukraine, 3, StanFlex-300, FAC/MCM ship, , , Second-hand
" Ecuador
", Uruguay, 4, T-34C Turbo Mentor, Trainer aircraft, 2018, (4), Second-hand
" Europe multi-state
", Spain, 7, NH-90 NFH, ASW helicopter, , , Part of EUR1.5 b deal (incl 16 NH-90 TTH version |  incl production in Spain) |  selected 2018 but not yet ordered by end-2018
" Europe multi-state
", Spain,, 16, NH-90 TTH, (2018), , 
" Finland
", Poland, 185, AMV, APC, 2014-2018, (135)," Part of $544 m deal |  incl mortar carrier, command post and reconnaissance versions |  Polish designation Rosomak |  delivery 2014-2019"
" Finland
", Poland,, 122, AMV-IFV, 2013, 2016-2018, (80)
" Finland
", Slovakia, 81, AMV-IFV, IFV, , , Incl production of components in Slovakia |  AMV-XP version |  selected but contract not yet signed end-2017
" Finland
", South Africa, 238, AMV-IFV, IFV, , , ZAR8.8 b ($1.2 b) 'Hoefyster' programme (incl 222 produced in South Africa with up to 70% of vehicle incl turrets produced in South Africa) |  most IFV version |  South African designation Badger |  delivery planned from 2022
" Finland
", Ireland, 2, W-16, Diesel engine, 2018, 2, For PV-90 OPV from UK
" Finland
", Norway, 2, 6L46, Diesel engine, 2018, 2, For 1 DSME LSV support ship from South Korea
" Finland
", Portugal, 4, W-12, Diesel engine, , , For 2 NPO-2000 (Do Castelo) OPV produced in Portugal
" Finland
", United Kingdom, 8, 6L46, Diesel engine, 2017-2018, 6, For 4 Tide oilers from South Korea
" France
", Denmark, 9, FLASH, ASW sonar, 2016-2018, 9, For 9 MH-60R ASW helicopters from USA |  probably from US production line
" France
", Kenya, 12, Bastion, APC/APV, 2018, 12, Financed by USA
" France
", Qatar, 16, NH-90 TTH, Transport helicopter, , , Part of EUR3 b deal |  delivery planned 2022-2025
" France
", Australia, 12, Barracuda, Submarine, , , AUD50 b ($38 b) 'SEA-1000' programme |  Shortfin Barracuda Block-1A version |  produced in Australia |  selected 2016 but not yet ordered by end-2018 |  delivery planned 2033-2050
" France
", Brazil, 40, EC725 Super Cougar, Transport helicopter, 2010-2018, (32)," Part of EUR1.9 b 'H-XBR' programme |  H225M version |  incl 3 CSAR version |  Brazilian designations H-36, HM-4, UH-15A and UH-15B |  delivery planned 2010-2022"
" France
", Brazil,, 4, P-400, 2009, , 
" France
", Brazil,, 4, Scorpene, 2009, , 
" France
", Brazil,, 1, SNBR, 2009, , 
" France
", Brazil,, (30), AM-39 Exocet, (2011), 2018, (10)
" France
", Brazil,, 1, P-400, 2011, , 
" France
", Brazil,, (8), EC725 Super Cougar, 2012, 2018, (2)
" France
", China, . ., AS565S Panther, ASW helicopter, 1989-2018, (47), AS-365F version |  Chinese designation Z-9C Haitun |  produced in China
" France
", China,, . ., AS365/AS565 Panther, 1988, 1992-2018, (432)
" France
", China,, , 12PA6, (2000), 2005-2018, (120)
" France
", China,, (26), 16PC2.5, (2005), 2007-2018, 22
" France
", China,, , 12PA6, (2010), 2013-2018, (90)
" France
", Czechia, 62, TITUS, APC, , , CZK6.7 b ($300 m) deal (produced in Czech Republic) |  command post and fire control versions |  delivery planned 2020-2025
" France
", Egypt, 4, Gowind-2500, Frigate, 2017, 1, EUR1 b deal incl option on 2 more |  incl 3 produced in Egypt
" France
", India, (22250), MILAN, Anti-tank missile, 1984-2018, (22000), MILAN-2 and MILAN-2T version |  ordered from French-FRG company |  most produced in India |  incl for BMP-2 IFV
" France
", India,, 6, Scorpene, 2005, 2017, 1
" France
", India,, (49), Mirage-2000-5, 2011, 2015-2018, (12)
" France
", India,, 12, 20PA6, 2012, 2015-2016, 6
" France
", India,, 36, Rafale, 2017, , 
" France
", Indonesia, (10), AS-532 Cougar/AS-332, Transport helicopter, 2001-2017, (9), NAS-332 version |  incl some for CSAR
" France
", Kazakhstan, 20, Ground Master-400, Air search radar, 2014-2018, (2), 
" France
", Malaysia, 6, Gowind-2500, Frigate, , , 'SGVP-LCS' programme |  Malaysian designation Maharaja Lela |  delivery planned from 2019
" France
", South Korea, 214, EC155, Helicopter, , , LCH-LAH version
" France
", Spain, 24, EC-665 Tiger, Combat helicopter, 2007-2018, (24), EUR1.4 b deal |  incl 6 HAP and 18 HAD versions |  incl production of 18 in Spain
" France
", Spain,, 22, NH-90 TTH, 2005, 2014-2018, (12)
" France
", United States, (298), FLASH, ASW sonar, 2006-2018, (298), AQS-22 ALFS version for 298 MH-60R ASW helicopters produced in USA
" France
", Algeria, 10, FPB-98, Patrol craft, , , 
" France
", Angola, , Vigilante-1400, OPV, , , Part of EUR495 m deal |  designation uncertain (reported as 'long patrol vessel')
" France
", Angola,, , Vigilante-400, 2016, , 
" France
", Argentina, 8, Atar-8, Turbojet, 2018, (8), Probably second-hand |  spares for Super Etendard combat aircraft
" France
", Argentina,, 5, Super Etendard, 2017, 2018, 5
" France
", Argentina,, 3, Gowind, 2018, , 
" France
", Argentina,, 1, Gowind, 2018, , 
" France
", Australia, 2, Air refuel system, Air refuel system, 2018, 2, For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft
" France
", Bangladesh, 4, 12PA6, Diesel engine, , , For 2 Type-056 (Shadhinata) frigates from China |  probably from Chinese production line
" France
", Belgium, 382, Griffon VBMR, APC, , , Part of EUR1.1 b or EUR1.6 b deal |  assembled in Belgium |  delivery planned 2025-2030 |  selected 2017 but not yet ordered by end-2018
" France
", Belgium,, 60, Jaguar EBRC, (2018), , 
" France
", Bolivia, 4, Ground Master-200, Air search radar, , , Part of EUR191 m ($215 m) deal |  designation uncertain (reported as 'air defence radar') |  incl for civilian use |  delivery planned 2019
" France
", Botswana, (50), MICA, BVRAAM, , , For VL-MICA SAM system
" France
", Botswana,, (50), Mistral, 2016, 2017-2018, (50)
" France
", Botswana,, (1), VL-MICA, 2016, , 
" France
", Denmark, 15, CAESAR 155mm, Self-propelled gun, , , Option on 6 more |  delivery planned 2019-2020
" France
", Ecuador, 2, AS-350/AS-550 Fennec, Light helicopter, 2018, 2, USD5.4 m. deal |  AS-350B3 version
" France
", Egypt, (50), MM-40-3 Exocet, Anti-ship MI/SSM, 2017, (10), For Gowind frigates
" France
", Egypt,, (500), AASM, 2015, 2016-2018, (500)
" France
", Egypt,, (100), MICA, 2015, 2017, (25)
" France
", Egypt,, (150), MICA, 2015, 2015-2018, (150)
" France
", Egypt,, 24, Rafale, 2015, 2015-2018, (20)
" France
", Egypt,, (50), Storm Shadow/SCALP, (2015), , 
" France
", Egypt,, (12), TALIOS, 2015, 2016-2018, (12)
" France
", Estonia, (100), Mistral, Portable SAM, 2015-2018, (84), EUR24 m deal |  Mistral M3 version |  delivery planned by 2019
" France
", Estonia,, , Mistral, 2018, , 
" France
", Georgia, 2, Ground Master-200, Air search radar, 2018, 2, 
" France
", Georgia,, 1, Ground Master-400, 2015, 2018, 1
" France
", Georgia,, , Mistral, 2015, 2018, (25)
" France
", Germany, (18), Ocean Master, MP aircraft radar, , , For 18 NH-90 ASW helicopters produced in FRG
" France
", Greece, (60), MM-40-3 Exocet, Anti-ship MI/SSM, 2010-2018, (50), For Super Vita (Roussen) FAC
" France
", Hungary, (180), Mistral, Portable SAM, 2016-2018, (180), Mistral M3 version
" France
", Hungary,, 16, EC725 Super Cougar, 2018, , 
" France
", India, 16, 12PA6, Diesel engine, 2014-2017, 12, For 4 Kamorta (Project-28) frigates produced in India
" France
", India,, 36, SM-39 Exocet, 2005, 2017, (6)
" France
", India,, 493, MICA, 2012, 2014-2018, (319)
" France
", India,, (30), Ardiden-1, (2016), , 
" France
", India,, , Meteor, (2016), , 
" France
", India,, , MICA, (2016), , 
" France
", India,, , Storm Shadow/SCALP, 2016, , 
" France
", Indonesia, 11, AS-565S Panther, ASW helicopter, 2017-2018, 5, AS565MBe version |  assembled in Indonesia |  delivery planned 2017-2019
" France
", Indonesia,, (14), MIDR, (2016), , 
" France
", Indonesia,, 2, VL-MICA-M, 2016, , 
" France
", Indonesia,, 18, CAESAR 155mm, 2017, , 
" France
", Indonesia,, 8, EC725 Super Cougar, (2018), , 
" France
", Indonesia,, (40), MICA, (2018), , 
" France
", Italy, (12), UMS-4110, ASW sonar, 2007-2018, 9, UMS-4110CL version for 2 Doria (Horizon) destroyers and 10 Bergamini (FREMM) frigates produced in Italy
" France
", Kuwait, 120, Sherpa, APV, 2016-2018, (120), 
" France
", Kuwait,, 30, EC725 Super Cougar, 2016, , 
" France
", Kuwait,, (300), Sherpa, 2018, , 
" France
", Lebanon, (146), HOT-2, Anti-tank missile, 2017-2018, (146), Second-hand |  for VAB-VCAC tank destroyers |  aid
" France
", Lebanon,, 15, VAB-VCAC, 2016, 2017-2018, (15)
" France
", Lesotho, 1, AS-350/AS-550 Fennec, Light helicopter, 2018, 1, Possibly second-hand |  supplier uncertain
" France
", Malaysia, 8, 2R2M 120MM, Mortar, 2018, (4), For 8 Pars (AV-8) mortar carriers from Turkey
" France
", Malaysia,, 6, CAPTAS TAS, 2014, , 
" France
", Malaysia,, , MICA, (2015), , 
" France
", Malaysia,, 18, LG-1 105mm, 2018, , 
" France
", Mexico, 1, CAPTAS TAS, ASW sonar, , , CAPTAS-2 version |  for 1 SIGMA-105 (Reformador) frigate from Netherlands
" France
", Mexico,, 1, EC725 Super Cougar, (2018), 2018, 1
" France
", Morocco, 2, Helios-2, Recce satellite, 2017-2018, 2, EUR500-585m deal |  designation uncertain (reported as 'MN35-13 observation satellites')
" France
", Nepal, 1, AS-350/AS-550 Fennec, Light helicopter, 2018, 1, H125 version
" France
", Nigeria, 2, FPB-110, Patrol craft, 2018, 2, FPB-110 Mk-2 version
" France
", Nigeria,, (2), FPB-72, 2017, 2018, 2
" France
", Norway, 14, Ocean Master, MP aircraft radar, 2011-2016, (6), For 14 NH-90 helicopters from Italy
" France
", Norway,, 6, FLASH, 2002, 2018, (2)
" France
", Pakistan, 2, MESMA, AIP engine, , , For modernization of 2 Agosta-90B submarines
" France
", Philippines, 2, FLASH, ASW sonar, , , For 2 AW-159 ASW helicopters from UK
